InstrumentID,Ticker,PriceSource
2494,KO.EXT,NASDAQ
2495,INTC.EXT,NASDAQ
2496,PFE.EXT,NASDAQ
2497,HKD.US,NASDAQ
2498,CRBG,NASDAQ
2499,LASITEB1,NASDAQ
2500,HDD.DE,Xetra
2501,AIXA.DE,Xetra
2502,O2D.DE,Xetra
2503,CEC.DE,Xetra
2504,EVT.DE,Xetra
2505,KGX.DE,Xetra
2506,SHA0.DE,Xetra
2507,IQQQ.DE,Xignite
2508,UN0.DE,Xetra
2509,NDX1.DE,Xetra
2510,SGL.DE,Xetra
2511,EVK.DE,Xetra
2512,DWNI.DE,Xetra
2513,LXS.DE,Xetra
2514,QIA.DE,Xetra
2515,DLG.DE,Xetra
2516,1COV.DE,Xetra
2518,G1A.DE,Xetra
2519,RKET.DE,Xetra
2520,WDI.DE,Xetra
2521,ZAL.DE,Xetra
2522,SZU.DE,Xetra
2523,GYC.DE,Xetra
2524,TEG.DE,Xetra
2525,GXI.DE,Xetra
2526,FNTN.DE,Xetra
2527,GBF.DE,Xetra
2528,AOX.DE,Xetra
2529,SZG.DE,Xetra
2530,BNR.DE,Xetra
2531,ARLN.DE,Xetra
2532,PAT.DE,Xetra
2533,UTDI.DE,Xetra
2534,LEO.DE,Xetra
2535,WAF.DE,Xetra
2536,SY1.DE,Xetra
2537,RRTL.DE,Xetra
2538,SOW.DE,Xetra
2539,SAZ.DE,Xetra
2540,DEQ.DE,Xetra
2541,HLE.DE,Xetra
2542,HLAG.DE,Xetra
2543,ZIL2.DE,Xetra
2544,OSR.DE,Xetra
2545,BOSS.DE,Xetra
2546,MOR.DE,Xetra
2547,1U1.DE,Xetra
2548,EVD.DE,Xetra
2549,ZPRR.DE,Xignite
